June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,Reusable Shopping Bags,,,,169302,Moved from [Household Supplies & Cleaning-299],
,,,Other Home Cleaning Supplies,,,,,300,,
,-,Kids & Teens at Home,,,,,,176988,,
,,,Bath,,,,,115624,All listings are being moved into [Other Bathroom - 177042].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Bath,,,,,259327,New Category,
,,,,Step Stools,,,,177039,New Category,
,,,,Towels & Washcloths,,,,177041,New Category,
,,,,Other Bathroom,,,,177042,New Category,
,,-,Bedding,,,,,66725,,
,,,,Bedding Sets,,,,66731,,
,,,,Pillows,,,,115629,All listings are being moved into [Pillows & Pillow Shams - 177044].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Pillowcases,,,,115628,All listings are being moved into [Other Kids' & Teens' Bedding - 176987].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Pillow Shams,,,,66729,All listings are being moved into [Pillows & Pillow Shams - 177044].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Sheets,,,,79619,,
,,,,Mattress Protectors,,,,177043,New Category,
,,,,Blankets & Throws,,,,66727,,
,,,,Comforters & Duvets,,,,66728,Renamed from [Comforters & Sets],
,,,,Duvet Covers,,,,134641,,
,,,,Pillows & Pillow Shams,,,,177044,New Category,
,,,,Bed Skirts,,,,66726,,
,,,,Canopies & Netting,,,,176986,,
,,,,Quilts,,,,66730,,
,,,,Sleeping Bags,,,,48091,,
,,,,Other Kids' & Teens' Bedding,,,,176987,,
,,,"Bedroom, Playroom & Dorm Décor",,,,,115970,All listings are being moved into [Other Home Décor - 177052].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Eating & Drinking,,,,,115715,All listings are being moved into [Other Kitchen & Dining - 177060].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,+,Educational Materials,,,,,16706,,
,,-,Furniture,,,,,66741,,
,,,,Bedroom Furniture Sets,,,,152035,New Category,
,,,,Beds with Mattresses,,,,122763,New Category,
,,,,Mattresses,,,,177047,New Category,
,,,,Bedframes & Divan Bases,,,,131604,New Category,
,,,,Bed Guards,,,,177045,New Category,
,,,,Bean Bags & Inflatables,,,,108428,,
,,,,Bedroom Furniture,,,,66742,All listings are being moved into [Other Kids' & Teens' Furniture - 66744].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Benches,,,,183321,,
,,,,"Bookcases, Shelving & Storage",,,,115749,Renamed from [Bookcases],
,,,,Cupboards & Bureaus,,,,122766,New Category,
,,,,Desks,,,,115750,,
,,,,Dressers & Vanities,,,,177046,New Category,
,,,,Play Tables & Chairs,,,,66743,,
,,,,Shelves,,,,134649,"All listings are being moved into [Bookcases, Shelving & Storage - 115749].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Racks & Hooks,,,,40623,New Category,
,,,,Sofas & Armchairs,,,,134648,,
,,,,Stools,,,,134650,,
,,,,Storage Units,,,,134651,"All listings are being moved into [Bookcases, Shelving & Storage - 115749].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Toy Boxes,,,,94932,,
,,,,Wardrobes,,,,122771,New Category,
,,,,Other Kids' & Teens' Furniture,,,,66744,,
,,,Lamps & Lighting,,,,,81253,All listings are being moved into [Other Lighting - 25827].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Rugs,,,,,154001,All listings are being moved into [Rugs & Carpets - 177062].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,-,Home Décor,,,,,259328,New Category,
,,,,Clocks,,,,94935,New Category,
,,,,Cushions & Covers,,,,259326,New Category,
,,,,Height Charts,,,,108424,New Category,
,,,,Mirrors,,,,177049,New Category,
,,,,"Plaques, Signs & Letters",,,,122769,New Category,
,,,,Playmats & Jigsaw Mats,,,,177063,New Category,
,,,,Rugs & Carpets,,,,177062,New Category,
,,,,Tabletop & Shelf Décor,,,,177050,New Category,
,,,,Trash Cans,,,,177048,New Category,
,,,,Wall Decals & Stickers,,,,108426,New Category,
,,,,Wall Hangings,,,,177051,New Category,
,,,,Window Treatments,,,,116488,Moved from [Kids & Teens at Home-176988],
,,,,Other Home Décor,,,,177052,New Category,
,,-,Kitchen & Dining,,,,,259329,New Category,
,,,,Aprons,,,,177053,New Category,
,,,,"Bowls, Plates & Cups",,,,177054,New Category,
,,,,Cutlery,,,,39024,New Category,
,,,,Dining Sets,,,,153903,New Category,
,,,,Lunchboxes & Bags,,,,177057,New Category,
,,,,Placemats & Coasters,,,,177059,New Category,
,,,,Water Bottles & Flasks,,,,177058,New Category,
,,,,Other Kitchen & Dining,,,,177060,New Category,
,,-,Lighting,,,,,259330,New Category,
,,,,Ceiling Lights,,,,81256,New Category,
,,,,Lamps,,,,81255,New Category,
,,,,Lampshades,,,,81257,New Category,
,,,,Night Lights,,,,177061,New Category,
,,,,Wall Lights,,,,81259,New Category,
,,,,Other Lighting,,,,25827,New Category,
,,+,School Supplies,,,,,102949,,
,,,Other Kids' & Teens' Items,,,,,176989,,
,-,"Kitchen, Dining & Bar",,,,,,20625,,
,,,Bakeware,,,,,25464,All listings are being moved into [Other Bakeware & Ovenware - 25846].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Bakeware,,,,,259321,New Category,
,,,,Baking/Roasting Dishes,,,,24252,New Category,
,,,,Baking Trays,,,,177132,New Category,
,,,,Cake Tins,,,,136814,New Category,
,,,,Casserole Pans,,,,98844,New Category,
,,,,Loaf Tins,,,,81247,New Category,
,,,,Muffin Pans & Baking Molds,,,,177066,New Category,
,,,,"Pie, Flan & Tart Tins",,,,81252,New Category,
,,,,Bakeware Sets,,,,177067,New Category,
,,,,Other Bakeware & Ovenware,,,,25846,New Category,
,,-,Bar Tools & Accessories,,,,,20687,,
,,,,Bottle Stoppers & Corks,,,,63503,,
,,,,Coasters,,,,36026,,
,,,,Cocktail Accessories,,,,177069,New Category,
,,,,Cocktail Shakers & Bar Sets,,,,63504,,
,,,,Corkscrews & Openers,,,,20688,,
,,,,Decanters,,,,103428,,
,,,,Flasks,,,,63505,,
,,,,Home Pubs & Bars,,,,115713,,
,,,,Ice Buckets & Wine Coolers,,,,63506,,
,,,,Ice Cube Trays & Molds,,,,177015,,
,,,,Liquor & Beer Dispensers,,,,103429,,
,,,,"Wine Bags, Boxes & Carriers",,,,115712,,
,,,,Wine Glass Charms,,,,31591,,
,,,,Wine Glass Holders,,,,159901,,
,,,,Wine Racks & Bottle Holders,,,,20689,,
,,,,Other Bar Tools & Accessories,,,,20690,,
,,+,Baking Accs. & Cake Decorating,,,,,177009,,
,,,Cookware,,,,,20628,All listings are being moved into [Other Cookware - 20632].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Cookware,,,,,259322,New Category,
,,,,Frying & Grill Pans,,,,98845,New Category,
,,,,Saucepans & Stockpots,,,,98846,New Category,
,,,,Woks,,,,109065,New Category,
,,,,Pan Sets,,,,98847,New Category,
,,,,Other Cookware,,,,20632,New Category,
,,-,Dinnerware & Serving Dishes,,,,,36027,,
,,,,Dinner Service Sets,,,,36032,,
,,,,Bowls,,,,36028,,
,,,,Butter Dishes,,,,103433,,
,,,,Cake Stands,,,,177010,,
,,,,Cream & Sugar,,,,103434,,
,,,,Cups & Saucers,,,,36029,,
,,,,Egg Cups,,,,101426,New Category,
,,,,Gravy Boats,,,,103435,,
,,,,Mugs,,,,20695,,
,,,,Pitchers,,,,115729,,
,,,,Plates,,,,36030,,
,,,,Platters,,,,45503,,
,,,,Serving Bowls,,,,45504,All listings are being moved into [Bowls - 36028].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Teapots,,,,115730,,
,,,,Trays,,,,45505,,
,,,,Trivets,,,,32886,,
,,,,Vacuum Jugs,,,,153895,New Category,
,,,,Other Dinnerware,,,,175802,,
,,,Vacuum Flasks & Mugs,,,,,177006,,
,,-,"Flatware, Knives & Cutlery",,,,,20637,,
,,,,Chopsticks,,,,101423,,
,,,,Complete Flatware Sets,,,,131608,New Category,
,,,,Flatware & Silverware,,,,20693,,
,,,,Flatware Storage,,,,159899,,
,,,,Kitchen & Steak Knives,,,,177005,,
,,,,Knife Blocks & Storage,,,,20638,,
,,,,Scissors & Shears,,,,122938,,
,,,,Serving Utensils & Sets,,,,137750,,
,,,,Sharpeners,,,,116005,,
,,,,Other Flatware & Cutlery,,,,177004,,
,,,Glassware & Drinkware,,,,,20696,Renamed from [Glassware],
,,,Kitchen Islands/Kitchen Carts,,,,,115753,,
,,-,Kitchen Storage & Organization,,,,,20652,,
,,,,Baker's Racks,,,,20482,All listings are being moved into [Racks & Holders - 46283].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Bread Bins,,,,98849,New Category,
,,,,Canisters & Jars,,,,20654,,
,,,,Food Storage Bags,,,,20653,,
,,,,"Cling Film, Foil & Food Wraps",,,,179206,Renamed from [Food Storage Wraps],
,,,,Food Storage Containers,,,,20655,,
,,,,Lunch Containers,,,,101428,,
,,,,Paper Towel Holders,,,,20643,,
,,,,Racks & Holders,,,,46283,,
,,,,Spice Jars & Racks,,,,20646,,
,,,,Vacuum Sealers,,,,63510,All listings are being moved into [69221].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Other Kitchen Storage,,,,11703,,
,,-,Kitchen Tools & Gadgets,,,,,20635,,
,,,,Bento Accessories,,,,178050,,
,,,,Burger Presses,,,,178051,,
,,,,Can Openers (Manual),,,,43420,,
,,,,Canning Supplies,,,,178052,,
,,,,Choppers,,,,178053,,
,,,,"Colanders, Strainers & Sifters",,,,20636,,
,,,,Cooking Thermometers,,,,43421,,
,,,,Cooking Utensils,,,,20649,,
,,,,Cutting Boards,,,,46282,,
,,,,Egg & Pancake Rings,,,,178054,,
,,,,Egg Poachers,,,,177070,New Category,
,,,,Food Mills & Potato Ricers,,,,177007,,
,,,,Funnels,,,,178055,,
,,,,Garlic Presses,,,,122939,,
,,,,Graters,,,,134727,,
,,,,Ice Pop Molds,,,,178056,,
,,,,Jello Molds,,,,115997,,
,,,,Measuring Cups & Spoons,,,,134728,,
,,,,Microwave Cooking Gadgets,,,,20633,,
,,,,Mixing Bowls,,,,20642,,
,,,,Mortar & Pestles,,,,98853,,
,,,,Nut & Shell Crackers,,,,178057,,
,,,,Oil & Vinegar Dispensers,,,,54122,,
,,,,Pasta Molds & Presses,,,,178058,,
,,,,Peelers & Slicers,,,,20641,Renamed from [Peelers],
,,,,Refrigerator Magnets,,,,20644,,
,,,,Salt & Pepper,,,,177008,,
,,,,Scoops,,,,46284,,
,,,,Slicers,,,,134726,All listings are being moved into [Peelers & Slicers - 20641].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Spoon Rests,,,,20647,,
,,,,Stove Burner Covers,,,,46285,,
,,,,Timers,,,,98852,,
,,,,Other Kitchen Tools & Gadgets,,,,20651,,
,,+,Linens & Textiles,,,,,71237,,
,,-,Small Kitchen Appliances,,,,,20667,,
,,,,Bread Machines,,,,20669,,
,,,,Burners & Hot Plates,,,,177751,,
,,,,Can Openers & Crushers,,,,20670,,
,,,,Chafing Dishes & Warming Trays,,,,27552,,
,,,,Chocolate Fountains,,,,169181,,
,,,+,"Coffee, Tea & Espresso Makers",,,,38250,,
,,,,Cotton Candy Machines,,,,169180,,
,,,,Countertop Blenders,,,,133704,,
,,,,Countertop Ice Makers,,,,122929,,
,,,,Countertop Mixers,,,,133701,,
,,,,Crepe Makers,,,,170416,,
,,,,"Cupcake, Donut & Dessert Makers",,,,122928,"Renamed from [Cupcake, Pie & Dessert Makers]",
,,,,Electric Skillets,,,,185032,,
,,,,Fondue Sets,,,,66749,,
,,,,Food Dehydrators,,,,32883,,
,,,,Food Processors,,,,20673,,
,,,,Fryers,,,,185033,,
,,,,Grain Mills,,,,168754,,
,,,,Grills & Griddles,,,,20675,,
,,,,Handheld Blenders,,,,184667,,
,,,,Handheld Mixers,,,,184668,,
,,,,Hot Dog Makers,,,,99633,,
,,,,Ice Cream Makers,,,,20676,,
,,,,Infrared & Convection Ovens,,,,150139,,
,,,,Juicers,,,,20677,,
,,,,Tea Kettles,,,,133705,,
,,,,Kitchen Scales,,,,50419,,
,,,,Meat Grinders,,,,66751,,
,,,,Pasta Makers,,,,20680,,
,,,,Pie Makers,,,,122931,,
,,,,Popcorn Makers,,,,66752,,
,,,,Raclettes,,,,99643,,
,,,,Rice Cookers,,,,122932,,
,,,,Rotisseries,,,,134674,,
,,,,Slicers & Electric Knives,,,,20681,,
,,,,Slow Cookers & Pressure Cookers,,,,20672,,
,,,,Slushie Makers,,,,170730,,
,,,,Steamers,,,,185013,,
,,,,Toaster Ovens,,,,122930,,
,,,,Toasters,,,,77285,,
,,,,Vacuum Sealers,,,,69221,,
,,,,Vintage Small Appliances,,,,116013,,
,,,,Waffle Makers,,,,168763,,
,,,+,Water Purification,,,,54144,,
,,,,Yogurt Makers,,,,122933,,
,,,,Parts & Accessories,,,,184971,,
,,,,Other Small Kitchen Appliances,,,,20685,,
,,,Other Kitchen & Dining Items,,,,,177014,,
,+,"Lamps, Lighting & Ceiling Fans",,,,,,20697,,
,+,Major Appliances,,,,,,20710,,
,+,Rugs & Carpets,,,,,,20571,,
,+,Tools & Workshop Equipment,,,,,,631,,
,+,Wedding Supplies,,,,,,11827,,
,+,Window Treatments & Hardware,,,,,,63514,,
,-,"Yard, Garden & Outdoor Living",,,,,,159912,,
,,+,Bird & Wildlife Accessories,,,,,75578,,
,,-,Gardening Supplies,,,,,2032,This Category is being retired.,
,,,,Other Gardening Supplies,,,,181051,"All listings are being moved into [Anchor Pins, Staples & Stakes - 181028].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,-,Composting & Yard Waste,,,,,181020,Moved from [Gardening Supplies-2032],
,,,,Compost Accelerators,,,,181021,,
,,,,Compost Aerators,,,,159427,,
,,,,Compost Worms,,,,181022,,
,,,,Garden Compost Bins,,,,181023,,
,,,,Garden Incinerators,,,,181442,New Category,
,,,,Garden Waste Bags,,,,181024,,
,,,,Garden Waste Bins,,,,181025,,
,,,,Other Composting & Yard Waste,,,,181026,,
,,-,Garden Clothing & Gear,,,,,159473,Moved from [Gardening Supplies-2032],
,,,,Clothing & Protective Gear,,,,20545,,
,,,,"Garden Kneelers, Pads & Seats",,,,75669,,
